id,title,url
0BSD,BSD Zero Clause License,http://spdx.org/licenses/0BSD.json
AAL,Attribution Assurance License,http://spdx.org/licenses/AAL.json
ADSL,Amazon Digital Services License,http://spdx.org/licenses/ADSL.json
AFL-1.1,Academic Free License v1.1,http://spdx.org/licenses/AFL-1.1.json
AFL-1.2,Academic Free License v1.2,http://spdx.org/licenses/AFL-1.2.json
AFL-2.0,Academic Free License v2.0,http://spdx.org/licenses/AFL-2.0.json
AFL-2.1,Academic Free License v2.1,http://spdx.org/licenses/AFL-2.1.json
AFL-3.0,Academic Free License v3.0,http://spdx.org/licenses/AFL-3.0.json
AGPL-1.0,Affero General Public License v1.0,http://spdx.org/licenses/AGPL-1.0.json
AGPL-1.0-only,Affero General Public License v1.0 only,http://spdx.org/licenses/AGPL-1.0-only.json
AGPL-1.0-or-later,Affero General Public License v1.0 or later,http://spdx.org/licenses/AGPL-1.0-or-later.json
AGPL-3.0,GNU Affero General Public License v3.0,http://spdx.org/licenses/AGPL-3.0.json
AGPL-3.0-only,GNU Affero General Public License v3.0 only,http://spdx.org/licenses/AGPL-3.0-only.json
AGPL-3.0-or-later,GNU Affero General Public License v3.0 or later,http://spdx.org/licenses/AGPL-3.0-or-later.json
AMDPLPA,AMD's plpa_map.c License,http://spdx.org/licenses/AMDPLPA.json
AML,Apple MIT License,http://spdx.org/licenses/AML.json
AMPAS,Academy of Motion Picture Arts and Sciences BSD,http://spdx.org/licenses/AMPAS.json
ANTLR-PD,ANTLR Software Rights Notice,http://spdx.org/licenses/ANTLR-PD.json
ANTLR-PD-fallback,ANTLR Software Rights Notice with license fallback,http://spdx.org/licenses/ANTLR-PD-fallback.json
APAFML,Adobe Postscript AFM License,http://spdx.org/licenses/APAFML.json
APL-1.0,Adaptive Public License 1.0,http://spdx.org/licenses/APL-1.0.json
APSL-1.0,Apple Public Source License 1.0,http://spdx.org/licenses/APSL-1.0.json
APSL-1.1,Apple Public Source License 1.1,http://spdx.org/licenses/APSL-1.1.json
APSL-1.2,Apple Public Source License 1.2,http://spdx.org/licenses/APSL-1.2.json
APSL-2.0,Apple Public Source License 2.0,http://spdx.org/licenses/APSL-2.0.json
Abstyles,Abstyles License,http://spdx.org/licenses/Abstyles.json
Adobe-2006,Adobe Systems Incorporated Source Code License Agreement,http://spdx.org/licenses/Adobe-2006.json
Adobe-Glyph,Adobe Glyph List License,http://spdx.org/licenses/Adobe-Glyph.json
Afmparse,Afmparse License,http://spdx.org/licenses/Afmparse.json
Aladdin,Aladdin Free Public License,http://spdx.org/licenses/Aladdin.json
Apache-1.0,Apache License 1.0,http://spdx.org/licenses/Apache-1.0.json
Apache-1.1,Apache License 1.1,http://spdx.org/licenses/Apache-1.1.json
Apache-2.0,Apache License 2.0,http://spdx.org/licenses/Apache-2.0.json
Artistic-1.0,Artistic License 1.0,http://spdx.org/licenses/Artistic-1.0.json
Artistic-1.0-Perl,Artistic License 1.0 (Perl),http://spdx.org/licenses/Artistic-1.0-Perl.json
Artistic-1.0-cl8,Artistic License 1.0 w/clause 8,http://spdx.org/licenses/Artistic-1.0-cl8.json
Artistic-2.0,Artistic License 2.0,http://spdx.org/licenses/Artistic-2.0.json
BSD-1-Clause,BSD 1-Clause License,http://spdx.org/licenses/BSD-1-Clause.json
BSD-2-Clause,"BSD 2-Clause ""Simplified"" License",http://spdx.org/licenses/BSD-2-Clause.json
BSD-2-Clause-FreeBSD,BSD 2-Clause FreeBSD License,http://spdx.org/licenses/BSD-2-Clause-FreeBSD.json
BSD-2-Clause-NetBSD,BSD 2-Clause NetBSD License,http://spdx.org/licenses/BSD-2-Clause-NetBSD.json
BSD-2-Clause-Patent,BSD-2-Clause Plus Patent License,http://spdx.org/licenses/BSD-2-Clause-Patent.json
