id,title,scheme
oefos:101,Statistics,oefos
oefos:105,Geosciences,oefos
oefos:201,Construction Engineering,oefos
oefos:207,"Environmental Engineering, Applied Geosciences",oefos
oefos:211,Other Technical Sciences,oefos
oefos:301,"Medical-Theoretical Sciences, Pharmacy",oefos
oefos:305,"Other Human Medicine, Health Sciences",oefos
oefos:401,"Agriculture and Forestry, Fishery",oefos
oefos:603,"Philosophy, Ethics, Religion",oefos
oefos:1010,Mathematics,oefos
oefos:1020,Computer Sciences,oefos
oefos:1030,"Physics, Astronomy",oefos
oefos:1040,Chemistry,oefos
oefos:1051,"Geology, Mineralogy",oefos
oefos:1052,"Meteorology, Climatology",oefos
oefos:1054,Physical Geography,oefos
oefos:1059,Interdisciplinary Geosciences not elsewhere classified,oefos
oefos:1060,Biology,oefos
oefos:1070,Other Natural Sciences,oefos
oefos:2011,Civil Engineering,oefos
oefos:2012,Architecture,oefos
oefos:2013,Transportation,oefos
oefos:2019,Construction Engineering not elsewhere classified,oefos
oefos:2020,"Electrical Engineering, Electronics, Information Engineering",oefos
oefos:2030,Mechanical Engineering,oefos
oefos:2040,Chemical Process Engineering,oefos
oefos:2050,Materials Engineering,oefos
oefos:2060,Medical Engineering,oefos
oefos:2071,Environmental Engineering,oefos
oefos:2072,"Engineering Geology, Geotechnics",oefos
oefos:2073,"Mining, Petroleum Engineering",oefos
oefos:2074,"Geodesy, Surveying",oefos
oefos:2079,"Environmental Engineering, Applied Geosciences not elsewhere classified",oefos
oefos:2080,Environmental Biotechnology,oefos
oefos:2090,Industrial Biotechnology,oefos
oefos:2112,Food Technology,oefos
oefos:2119,Technical Sciences not elsewhere classified,oefos
oefos:3011,"Anatomy, Pathology, Physiology",oefos
oefos:3012,"Pharmacy, Pharmacology, Toxicology",oefos
oefos:3013,"Medical Biochemistry, Human Genetics",oefos
oefos:3014,Neurosciences,oefos
oefos:3019,Medical-Theoretical Sciences not elsewhere classified,oefos
oefos:3020,Clinical Medicine,oefos
oefos:3030,Health Sciences,oefos
oefos:3040,Medical Biotechnology,oefos
oefos:3051,Forensic Medicine,oefos
oefos:3059,"Human Medicine, Health Sciences not elsewhere classified",oefos
oefos:4011,"Cultivation of Land, Horticulture",oefos
oefos:4012,Forestry and Wood Industry,oefos
oefos:4019,"Agriculture and Forestry, Fishery not elsewhere classified",oefos
oefos:4020,"Animal Breeding, Animal Production",oefos
oefos:4030,Veterinary Medicine,oefos
oefos:4040,"Agricultural Biotechnology, Food Biotechnology",oefos
oefos:4050,Other Agricultural Sciences,oefos
oefos:5010,Psychology,oefos
oefos:5030,Educational Sciences,oefos
oefos:5040,Sociology,oefos
oefos:5050,Law,oefos
oefos:5060,Political Science,oefos
oefos:5070,"Human Geography, Regional Geography, Regional Planning",oefos
oefos:5080,Media and Communication Sciences,oefos
oefos:5090,Other Social Sciences,oefos
oefos:6010,"History, Archaeology",oefos
oefos:6020,Linguistics and Literature,oefos
oefos:6031,"Philosophy, Ethics",oefos
oefos:6032,Theology,oefos
oefos:6039,"Religion, Religious Studies not elsewhere classified",oefos
oefos:6040,Arts,oefos
oefos:6050,Other Humanities,oefos
oefos:101001,Algebra,oefos
oefos:101002,Analysis,oefos
oefos:101003,Applied geometry,oefos
oefos:101004,Biomathematics,oefos
oefos:101005,Computer algebra,oefos
oefos:101006,Differential geometry,oefos
oefos:101007,Financial mathematics,oefos
oefos:101008,Complex analysis,oefos
oefos:101009,Geometry,oefos
oefos:101010,History of mathematics,oefos
oefos:101011,Graph theory,oefos
oefos:101012,Combinatorics,oefos
oefos:101013,Mathematical logic,oefos
oefos:101014,Numerical mathematics,oefos
oefos:101015,Operations research,oefos
oefos:101016,Optimisation,oefos
oefos:101017,Game theory,oefos
oefos:101019,Stochastics,oefos
oefos:101020,Technical mathematics,oefos
oefos:101021,Theoretical cybernetics,oefos
oefos:101022,Topology,oefos
oefos:101023,Actuarial mathematics,oefos
oefos:101024,Probability theory,oefos
oefos:101025,Number theory,oefos
oefos:101026,Time series analysis,oefos
oefos:101027,Dynamical systems,oefos
oefos:101028,Mathematical modelling,oefos
oefos:101029,Mathematical statistics,oefos
oefos:101030,Reliability theory,oefos
oefos:101031,Approximation theory,oefos
oefos:101032,Functional analysis,oefos
oefos:102001,Artificial intelligence,oefos
oefos:102002,Augmented reality,oefos
oefos:102003,Image processing,oefos
oefos:102005,Computer aided design (CAD),oefos
oefos:102006,Computer supported cooperative work (CSCW),oefos
oefos:102007,Computer animation,oefos
oefos:102008,Computer graphics,oefos
oefos:102009,Computer simulation,oefos
oefos:102010,Database systems,oefos
oefos:102011,Formal languages,oefos
oefos:102012,History of computer science,oefos
oefos:102013,Human-computer interaction,oefos
oefos:102014,Information design,oefos
oefos:102015,Information systems,oefos
oefos:102016,IT security,oefos
oefos:102017,Cryptology,oefos
oefos:102018,Artificial neural networks,oefos
oefos:102019,Machine learning,oefos
oefos:102021,Pervasive computing,oefos
oefos:102022,Software development,oefos
oefos:102023,Supercomputing,oefos
oefos:102024,Usability research,oefos
oefos:102025,Distributed systems,oefos
oefos:102026,Virtual reality,oefos
oefos:102027,Web engineering,oefos
oefos:102028,Knowledge engineering,oefos
oefos:102029,Practical computer science,oefos
oefos:102030,Semantic technologies,oefos
oefos:102031,Theoretical computer science,oefos
oefos:102032,Computational intelligence,oefos
oefos:102033,Data mining,oefos
oefos:102034,Cyber-physical systems,oefos
oefos:102035,Data science,oefos
oefos:102036,Digital accessibility,oefos
oefos:102037,Visualisation,oefos
oefos:103001,Aerodynamics,oefos
oefos:103002,Acoustics,oefos
oefos:103003,Astronomy,oefos
oefos:103004,Astrophysics,oefos
oefos:103005,Atomic physics,oefos
oefos:103006,Chemical physics,oefos
oefos:103007,Dosimetry,oefos
oefos:103008,Experimental physics,oefos
oefos:103009,Solid state physics,oefos
oefos:103010,History of physics,oefos
oefos:103011,Semiconductor physics,oefos
oefos:103012,High energy physics,oefos
oefos:103013,Ion physics,oefos
oefos:103014,Nuclear physics,oefos
oefos:103015,Condensed matter,oefos
oefos:103016,Laser physics,oefos
oefos:103017,Magnetism,oefos
oefos:103018,Materials physics,oefos
oefos:103019,Mathematical physics,oefos
oefos:103020,Surface physics,oefos
oefos:103021,Optics,oefos
oefos:103022,Plasma physics,oefos
oefos:103023,Polymer physics,oefos
oefos:103024,Quantum field theory,oefos
oefos:103025,Quantum mechanics,oefos
oefos:103026,Quantum optics,oefos
oefos:103027,Reactor physics,oefos
oefos:103028,Theory of relativity,oefos
oefos:103029,Statistical physics,oefos
oefos:103030,Radiation physics,oefos
oefos:103032,Fluid mechanics,oefos
oefos:103033,Superconductivity,oefos
oefos:103034,Particle physics,oefos
oefos:103035,Theoretical mechanics,oefos
oefos:103036,Theoretical physics,oefos
oefos:103037,Environmental physics,oefos
oefos:103038,Space exploration,oefos
oefos:103039,Aerosol physics,oefos
oefos:103040,Photonics,oefos
oefos:103041,Astroparticle physics,oefos
oefos:103042,Electron microscopy,oefos
oefos:103043,Computational physics,oefos
oefos:104001,General chemistry,oefos
oefos:104002,Analytical chemistry,oefos
oefos:104003,Inorganic chemistry,oefos
oefos:104004,Chemical biology,oefos
oefos:104005,Electrochemistry,oefos
oefos:104006,Solid state chemistry,oefos
oefos:104007,History of chemistry,oefos
oefos:104008,Catalysis,oefos
oefos:104009,Food chemistry,oefos
oefos:104010,Macromolecular chemistry,oefos
oefos:104011,Materials chemistry,oefos
oefos:104012,Microanalysis,oefos
oefos:104013,Natural product chemistry,oefos
oefos:104014,Surface chemistry,oefos
oefos:104015,Organic chemistry,oefos
oefos:104016,Photochemistry,oefos
oefos:104017,Physical chemistry,oefos
oefos:104018,Polymer chemistry,oefos
oefos:104019,Polymer sciences,oefos
oefos:104020,Radiochemistry,oefos
oefos:104021,Structural chemistry,oefos
oefos:104022,Theoretical chemistry,oefos
oefos:104023,Environmental chemistry,oefos
oefos:104024,X-ray structural analysis,oefos
oefos:104025,Single-molecule chemistry,oefos
oefos:104026,Spectroscopy,oefos
oefos:105101,General geology,oefos
oefos:105102,General geophysics,oefos
oefos:105104,Erosion,oefos
